texte,sujet
"J’ai des pensées suicidaires, je suis à rue Antoinette Martineau dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers chemin Marcel Diallo ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue de Delmas ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de rue Paul ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Pons ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers chemin William Philippe ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de avenue de Foucher ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue de Bousquet ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à chemin Duval dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers rue Xavier Nicolas ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Thierry Martel.",maraude
Il y a une maraude ce soir vers chemin Barre ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers chemin de Garcia ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue Alexandre ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers boulevard Camille Roger ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers avenue Blanchet ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue de Mathieu ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Poulain.",maraude
Il y a une maraude ce soir vers chemin Arnaud ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue de Rivière ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de avenue Lemonnier ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Charles ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de chemin Henri Vallet ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de avenue de Guyot ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de boulevard de Durand ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de chemin de Baron ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Hernandez ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de chemin de Raymond ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Arthur Bigot ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers boulevard Hernandez ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue Timothée Cousin ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Lemonnier.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Grégoire Lamy.",maraude
Y a-t-il un hôpital ou un médecin proche de avenue Dominique Bouvier ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à avenue de Parent dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers chemin Martin ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Philippe Lemonnier.",maraude
Quel est le commissariat le plus proche de rue Colas ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin de Guichard.",maraude
Il y a une maraude ce soir vers avenue Masse ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Deschamps.",maraude
Quel est le commissariat le plus proche de rue Marc Mace ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de avenue de Guilbert ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard de Adam ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue de Julien ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers boulevard de Lecomte ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à avenue de Mendès dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de boulevard Devaux ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à rue Guyon dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Da Silva ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers boulevard de Verdier ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à avenue Guérin dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Gabrielle Tanguy ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue de Bigot ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de boulevard Luc Teixeira ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à chemin de Chevallier dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers rue Laroche ? Je cherche un endroit pour manger ou discuter.,maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Jacques ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de boulevard Blin ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de avenue Marianne Laurent ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Lebrun.",maraude
Il y a une maraude ce soir vers chemin Seguin ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à rue Bailly dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers rue Gilbert Renaud ? Je cherche un endroit pour manger ou discuter.,maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard de Barthelemy ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Margot Ruiz dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de boulevard de Berthelot ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard de Leroy ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Techer.",maraude
Quel est le commissariat le plus proche de chemin Simone Lemaire ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de rue de Guillou ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Vasseur ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Josette Bourdon ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Ferreira ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de rue Margot Raymond ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à rue Élodie Besnard dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à chemin Pages dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers chemin Suzanne Renault ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de boulevard de Camus ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Daniel Perez ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Chevallier.",maraude
"J’ai des pensées suicidaires, je suis à rue Sabine Salmon dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue de Letellier dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à avenue de Humbert dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de avenue de Clément ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Lacroix ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Vincent Lamy dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Sanchez.",maraude
"J’ai des pensées suicidaires, je suis à rue de Martin dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue Franck Reynaud dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers rue Christine Gay ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Théophile Guibert.",maraude
"J’ai des pensées suicidaires, je suis à rue Leleu dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de avenue Aimé Roux ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Sanchez.",maraude
Y a-t-il un hôpital ou un médecin proche de boulevard Grégoire Delaunay ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue de Royer ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin de Boulanger.",maraude
Il y a une maraude ce soir vers avenue Pereira ? Je cherche un endroit pour manger ou discuter.,maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Lamy ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de avenue de Faivre ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin de Rolland ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers rue de François ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Barthelemy.",maraude
Y a-t-il un hôpital ou un médecin proche de avenue Hebert ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Courtois.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Rey ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Agathe Pinto.",maraude
Y a-t-il un hôpital ou un médecin proche de rue de Rocher ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers chemin André Turpin ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à chemin Guichard dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers chemin de Morel ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue Maillard ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers chemin Laetitia Martins ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de boulevard Gabriel Valentin ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Leblanc ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue Ferrand ? Je cherche un endroit pour manger ou discuter.,maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue de Pons ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de avenue Éric Lagarde ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Delmas ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à chemin Élise Fernandes dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à boulevard de Martel dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Hernandez ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Alain Diallo.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Olivier.",maraude
Quel est le commissariat le plus proche de rue Martel ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Maillot ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Franck Aubry ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Chrétien ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de boulevard Sébastien Vidal ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Julien ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Philippe Gilles ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de avenue Boucher ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à rue Auguste Dupuy dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Le Roux.",maraude
Y a-t-il un hôpital ou un médecin proche de rue de Dumas ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue Élise Chevallier ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Lemaître.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Claude Fleury.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Riou.",maraude
Y a-t-il un hôpital ou un médecin proche de chemin Laure Pinto ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Jules Gilbert ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Benoit ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Lacroix ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de avenue de Bernard ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Agnès Fouquet ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Julien Raymond.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Benoît Brun ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers rue de Hamel ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Marin.",maraude
Quel est le commissariat le plus proche de boulevard de Samson ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers boulevard Didier ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue Dumont ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de chemin Lombard ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin de Denis.",maraude
"J’ai des pensées suicidaires, je suis à rue Victor Le Gall dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue Delattre dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de chemin Jacques Lamy ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de chemin de Breton ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de boulevard Bernadette Fabre ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard de Gallet ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin de Roux ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Emmanuelle Barbe dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Simon ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers boulevard Guillet ? Je cherche un endroit pour manger ou discuter.,maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Céline Torres ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de rue de Roussel ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Alex Blanchet.",maraude
Quel est le commissariat le plus proche de rue de Michaud ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard de Lecoq ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de avenue Anaïs Foucher ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers avenue de Masson ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Jeanne Costa.",maraude
Y a-t-il un hôpital ou un médecin proche de rue Hélène Legros ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue de Muller.",maraude
Il y a une maraude ce soir vers rue Christelle Marty ? Je cherche un endroit pour manger ou discuter.,maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Richard Bernard ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers avenue de Lambert ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à rue Adrien Leroy dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Claire De Sousa ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de rue Antoinette Masse ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers rue Honoré Perez ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue de Chauvet ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Morin ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue Rivière ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de boulevard Lebrun ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers chemin Rivière ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à rue Brun dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de chemin de Renault ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Anaïs Roche ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de rue Gros ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de boulevard Faivre ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à rue de Dupont dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Nathalie Lopes.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard de Meyer ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Alexandre dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de chemin de Barbe ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de rue Blin ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à chemin Le Roux dans Paris. Je veux parler à quelqu’un.",santé
Il y a une maraude ce soir vers avenue Arthur Lacroix ? Je cherche un endroit pour manger ou discuter.,maraude
"J’ai des pensées suicidaires, je suis à rue Vallet dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue de Marin ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à chemin de Vidal dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Tessier ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Agathe Gay ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à boulevard Benard dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Hoarau ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de avenue de Leclercq ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Riou.",maraude
Y a-t-il un hôpital ou un médecin proche de boulevard Anouk Brunel ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de chemin Virginie Guillou ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Fontaine.",maraude
"J’ai des pensées suicidaires, je suis à rue François dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Bousquet ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Lecomte ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Adam ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Boulanger ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de avenue Guyon ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Luce Le Roux ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à chemin Amélie Becker dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin François ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de rue Salmon ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de chemin Michel ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à avenue de Pinto dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de boulevard de Weiss ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de avenue Humbert ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à boulevard Payet dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de chemin Giraud ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de avenue de Louis ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers chemin de Labbé ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de rue Munoz ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Seguin.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Morin.",maraude
Y a-t-il un hôpital ou un médecin proche de boulevard Amélie Moreau ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Constance Martinez ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Duval ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Pottier ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à boulevard de Gérard dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue de Philippe ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Anaïs Fernandes ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à rue Nath Bigot dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de avenue de Ribeiro ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à rue de Allard dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue Bouvier ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Potier.",maraude
"J’ai des pensées suicidaires, je suis à avenue Mathilde Wagner dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Agathe Diaz ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Anne Antoine ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Pruvost.",maraude
Quel est le commissariat le plus proche de rue Constance Martins ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de avenue de Roy ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Bernard.",maraude
Il y a une maraude ce soir vers rue Bertrand Pruvost ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de chemin de Deschamps ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Diallo ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Petit ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Bigot ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers avenue Olivie Durand ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de avenue Jules Joubert ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Louise Blanchet.",maraude
Y a-t-il un hôpital ou un médecin proche de chemin Denise Gomez ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Martins.",maraude
Quel est le commissariat le plus proche de boulevard de Faivre ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Normand.",maraude
Il y a une maraude ce soir vers rue de Renaud ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de avenue de Marques ? Je me suis fait mal.,santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Valette ? J’ai besoin de me laver rapidement.",douche
Il y a une maraude ce soir vers rue Adam ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Blanchet.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Noël Letellier ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Philippine Gosselin ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Lelièvre ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de avenue Lemaire ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à rue Mercier dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Éric Guyot.",maraude
Quel est le commissariat le plus proche de rue Rousset ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de rue de Nguyen ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de chemin Pierre Poulain ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de chemin de Martel ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Maillot.",maraude
Y a-t-il un hôpital ou un médecin proche de chemin Guillaume ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Neveu.",maraude
Y a-t-il un hôpital ou un médecin proche de avenue Marie Lemonnier ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à avenue Pierre Lemaître dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Buisson ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Besson ? J’ai besoin de me laver rapidement.",douche
Y a-t-il un hôpital ou un médecin proche de rue Lucie Besson ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à avenue de Lefèvre dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de avenue Théodore Bruneau ? J’ai besoin de me laver rapidement.",douche
Quel est le commissariat le plus proche de boulevard de Chauvin ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à avenue Antoine Clément dans Paris. Je veux parler à quelqu’un.",santé
